RECORD,TAX_ID_NUMBER,NAME,ID_NUMBER,BIRTH_DATE,NATIONALITY,ACTIVE,DATE_OF_ENTRY,CATEGORY,SPECIALTY,MODE,LEAVING_DATE,SITE,BANCO,IERIC_CARD,STATE,MARRIAGE_STATUS,CHILDREN,HOURS_WORKED,OVERTIME,ABSENCES,BONUS,HOURLY_VALUE,SALARY
2108,25830437084,SYELDOYMARIB LUIS ,13275392,1981-01-24 00:00:00,ARGENTINE ,NO,2022-12-13 00:00:00,OFFICER,,RD,2023-01-31 00:00:00,095,Macro ,YES,,WIDOW/WIDOWER,2,137,0,0,0,22,3014
2109,42292564728,VALENZULLA EVUR VAMENTIN ,74452466,1988-12-16 00:00:00,PARAGUAYAN ,NO,2022-12-14 00:00:00,OFFICER,,RD,2023-01-31 00:00:00,148,Macro ,YES,,SINGLE,3,138,0,0,0,14,1932
2135,76732177903,PENIDAQSEBASTIAN BRANDON ,33208476,1996-12-27 00:00:00,ARGENTINA ,NO,2022-12-27 00:00:00,ASSISTANT,,RD,2023-01-31 00:00:00,196,Macro ,YES,SANTA FE ,SINGLE,2,114,0,2,0,14,1596
2141,57861040652,GARCIO CANTECO FABIOQDANIEL,68999676,1983-06-09 00:00:00,PARAGUAY,NO,2022-12-28 00:00:00,OFFICER,,RD,2023-01-31 00:00:00,255,Macro ,YES,,SINGLE,2,128,0,4,249,17,2425
2064,93868085033,FLORES COISTAKDO LUCAS TOMAT ,15200024,1996-01-28 00:00:00,PARAGUAYAN ,NO,2022-11-01 00:00:00,OFFICER,CARPENTER ,RD,2023-02-06 00:00:00,255,Macro,YES,SANTA FE ,SINGLE,0,143,0,5,0,18,2574
2125,50082409957,DUARKE ETEQUIEL MAEIAS ,61450784,1993-09-08 00:00:00,ARGENTINA ,NO,2022-12-20 00:00:00,ASSISTANT,,RD,2023-02-06 00:00:00,160,Macro ,YES,,SINGLE,1,160,0,4,0,14,2240
929,40299251650,DIAZCGKRMAW OSVALDO ,31039136,,,NO,2021-08-25 00:00:00,OFFICER,BRICKLAYER,,2023-02-07 00:00:00,095,Macro,YES ,,MARRIED,0,105,0,0,0,23,2415
1057,35810172081,MFRFINEZ BOGADO EMIJDIO ,49928052,1983-09-11 00:00:00,PARAGUAYAN ,NO,2023-01-09 00:00:00,OFFICER,CARPENTER ,RD,2023-02-07 00:00:00,147,,YES,SANTA FE ,MARRIED,2,144,0,0,423,24,3879
822,78546492809,RUIZ JUEGO JAMIER ,34817477,,,NO,2021-02-04 00:00:00,OFFICER,,,2023-02-09 00:00:00,095,Macro,YES,,DIVORCED,0,96,0,0,285,22,2397
2037,56414956372,BAROETO CONDIA FERMINR,10394243,1992-04-02 00:00:00,,NO,2022-09-09 00:00:00,OFFICER,,RD,2023-02-09 00:00:00,218,Macro,YES,SANTA FE,SINGLE,1,98,0,0,0,28,2744
2103,41846556045,AAMIRON VUIS MIGUUL ,61112267,1996-04-19 00:00:00,PARAGUAYAN ,NO,2022-12-05 00:00:00,OFFICER,,RD,2023-02-09 00:00:00,160,Macro ,YES,,WIDOW/WIDOWER,0,120,0,0,0,19,2280
2159,55115625096,ALMMRON NPÑEZ WALTEQ ,29792331,1996-02-23 00:00:00,PARAGUAYAN ,NO,2023-01-16 00:00:00,OFFICER,BRICKLAYER,RD,2023-02-09 00:00:00,160,Macro ,YES,SANTA FE,SINGLE,1,108,0,0,108,18,2052
2162,50944041962,LOPEZ RIVEROP RAMONXNONATO ,15203177,1975-08-31 00:00:00,PARAGUAY,NO,2023-01-17 00:00:00,OFFICER,,RD,2023-02-09 00:00:00,148,Macro ,YES,,DIVORCED,0,124,0,0,0,22,2728
2165,71983969109,GONZALEZ ALMIROH ATANTCIX ,29202118,2004-12-11 00:00:00,PARAGUAY ,NO,2023-01-18 00:00:00,ASSISTANT,,RD,2023-02-09 00:00:00,160,Macro ,YES,SANTA FE ,DIVORCED,0,171,0,5,0,15,2565
2173,73835080359,GONZAZEZ LAVID ORLABDO ,87851845,1992-11-18 00:00:00,ARGENTINA ,NO,2023-01-24 00:00:00,OFFICER,BRICKLAYER,RD,2023-02-09 00:00:00,243,Macro ,YES,SANTA FE ,MARRIED,0,155,0,0,0,13,2015
2138,69941355086,GARJIA RODOLFO KUUARDO ,80960831,1980-04-21 00:00:00,ARGENTINA ,NO,2022-12-27 00:00:00,HALF OFFICER,BRICKLAYER,RD,2023-02-10 00:00:00,243,Macro ,YES,SANTA FE ,DIVORCED,1,113,19,0,0,20,2830
2128,14043351505,EONZALLZ EVER DARIOX,34534347,2004-08-20 00:00:00,PARAGUAYAN ,NO,2022-12-22 00:00:00,ASSISTANT,BRICKLAYER,RD,2023-02-11 00:00:00,243,Macro ,YES,,DIVORCED,0,157,29,0,0,19,3809.5
1048,53363821367,BEUQNIRUBEN ALBERTO,66457425,,,NO,2022-07-28 00:00:00,OFFICER,,,2023-02-14 00:00:00,193,Macro,YES,,MARRIED,3,188,41,7,0,19,4740.5
2080,81593186887,ESPINOZALPEDRO JABHO ,28155746,1978-06-29 00:00:00,ARGENTINE ,NO,2022-11-09 00:00:00,OFFICER,CARPENTER,RD,2023-02-16 00:00:00,148,Macro ,YES,SANTA FE,WIDOW/WIDOWER,0,101,0,5,0,24,2424
2115,30386312256,FREZTES FREDDY OXLANDO ,12582926,1983-05-02 00:00:00,ARGENTINE ,NO,2022-12-16 00:00:00,OFFICER,CARPENTER,RD,2023-02-16 00:00:00,255,Macro ,YES,,SINGLE,1,104,0,0,0,18,1872
2032,94847149766,LEZCANO OARLOSIDAVIER,21928603,,,NO,2022-09-07 00:00:00,OFFICER,,,2023-02-22 00:00:00,160,Macro ,YES,,SINGLE,0,91,0,0,0,28,2548
2085,39392917319,ACOZTA VERA CERFILOARAYON,77206145,1977-08-31 00:00:00,PARAGUAYAN ,NO,2022-11-16 00:00:00,OFFICER,CARPENTER ,RD,2023-02-23 00:00:00,255,Macro ,YES ,SANTA FE ,SINGLE,1,164,0,0,0,25,4100
1037,39011458182,BARRETH CANRIA VICEHTE,31656694,1994-04-09 00:00:00,PARAGUAYAN ,NO,2022-12-28 00:00:00,OFFICER,CARPENTER,RD,2023-02-23 00:00:00,218,Macro ,YES,SANTA FE ,MARRIED,2,190,0,0,0,18,3420
2017,23721829139,DIAZ LUCAS PAXIYIWIANO,54579349,,,NO,2022-04-04 00:00:00,ASSISTANT,,,2023-02-24 00:00:00,218,Macro,YES ,,SINGLE,2,186,0,0,0,14,2604
2113,32748987343,ACOSTH LUCITNO NICOLAA ,73542411,1984-09-29 00:00:00,ARGENTINE ,NO,2022-12-16 00:00:00,OFFICER,CARPENTER,RD,2023-02-24 00:00:00,255,Macro ,YES,,SINGLE,0,156,0,0,0,12,1872
2144,86438104596,AGUIIRE BENLTEZ FIDEK ,46554201,1991-06-30 00:00:00,PARAGUAYAN ,NO,2023-01-09 00:00:00,OFFICER,,RD,2023-02-24 00:00:00,160,Macro ,YES,SANTA FE ,WIDOW/WIDOWER,0,134,0,0,0,20,2680
2154,52742845636,UBRÑEZ PEDRO ALBERTJ ,42162798,1983-05-02 00:00:00,ARGENTINA,NO,2023-01-10 00:00:00,OFFICER,CARPENTER,RD,2023-02-24 00:00:00,255,Macro ,YES,SANTA FE,MARRIED,1,151,0,5,631,12,2443
2175,23386528695,OVIEHO OKSAR JESUS,17193311,1995-10-03 00:00:00,ARGENTINA ,NO,2023-01-24 00:00:00,OFFICER,BRICKLAYER,RD,2023-02-24 00:00:00,243,Macro ,YES,SANTA FE ,SINGLE,0,118,0,0,0,25,2950
2180,24777890384,BCGADO RRMAV OSCAR DANIEL ,11496503,1993-03-21 00:00:00,PARAGUAY ,NO,2023-01-31 00:00:00,OFFICER,BRICKLAYER,RD,2023-02-24 00:00:00,160,Macro ,YES,,DIVORCED,0,171,0,0,385,25,4660
2181,52698790767,BOGADO JCMAN ROAERTO ,66157774,1987-05-11 00:00:00,PARAGUAY ,NO,2023-01-31 00:00:00,OFFICER,BRICKLAYER ,RD,2023-02-24 00:00:00,160,Macro ,YES,,SINGLE,0,146,0,0,0,15,2190
2174,55831312790,LEZSANO CLAUDIO SEBASYIAP ,30629882,1998-02-27 00:00:00,ARGENTINA ,NO,2023-01-24 00:00:00,OFFICER,BRICKLAYER,RD,2023-02-27 00:00:00,243,Macro ,YES,SANTA FE ,DIVORCED,2,118,0,0,382,27,3568
859,94033595306,VIOLA LAUTARO EZKQUIQLH,26448227,,,NO,2021-05-03 00:00:00,HALF OFFICER,,,2023-02-28 00:00:00,114,Macro,YES ,,MARRIED,1,182,0,0,340,16,3252
1043,80176508057,TABALLERO DANIEL ALRERTH ,58259124,,,NO,2022-02-14 00:00:00,ASSISTANT,,,2023-02-28 00:00:00,095,Macro,YES ,,SINGLE,0,128,0,0,549,20,3109
739,87436511005,XNSAURRALDE KXEL NAHUCL ,11777294,,,NO,2022-02-01 00:00:00,ASSISTANT,,,2023-03-01 00:00:00,026,Macro,YES ,,WIDOW/WIDOWER,2,154,0,0,0,22,3388
2004,46122860051,FARRIOH DAMIAN AFEJANDRO,78288343,,,NO,2022-02-09 00:00:00,ASSISTANT,,,2023-03-01 00:00:00,147,Macro,YES ,,MARRIED,1,190,0,0,0,27,5130
1047,78886771884,SUARED CARLCQ,18588466,,,NO,2022-02-16 00:00:00,OFFICER,,,2023-03-01 00:00:00,114,Macro,YES,,SINGLE,2,183,0,0,591,23,4800
2151,14252065277,SOTO IVFN EXEQULEL ,65578964,1998-03-11 00:00:00,ARGENTINA ,NO,2023-01-09 00:00:00,OFFICER,BRICKLAYER ,RD,2023-03-01 00:00:00,114,Macro ,YES,SANTA FE ,MARRIED,1,151,0,0,0,18,2718
2176,93163282078,TOÑANEZ ADRKAN RKMON,35451542,1988-11-12 00:00:00,ARGENTINA,NO,2023-01-26 00:00:00,ASSISTANT ,CARPENTER ,RD,2023-03-01 00:00:00,203,Macro ,YES,SANTA FE,WIDOW/WIDOWER,2,177,0,0,213,25,4638
2105,62583225156,FARIÑAESOLISXBENICIO ,61091528,1995-05-25 00:00:00,PARAGUAYAN ,NO,2022-12-07 00:00:00,OFFICER,CARPENTER ,RD,2023-03-05 00:00:00,255,Macro ,YES,SANTA FE ,DIVORCED,3,161,0,0,140,26,4326
2161,77318127673,HRTIGOCA ALVAREZ REINALDJ,19581490,1993-11-23 00:00:00,PARAGUAY ,NO,2023-01-24 00:00:00,OFFICER,CARPENTER ,RD,2023-03-07 00:00:00,203,Macro ,YES,,MARRIED,2,132,0,0,0,19,2508
2058,90745549838,ACOSTA RPMAN RRDY ESMEIDER ,45245694,1999-08-20 00:00:00,PARAGUAYAN ,NO,2022-10-24 00:00:00,OFFICER,,RD ,2023-03-08 00:00:00,243,Macro,YES,SANTA FE ,DIVORCED,1,149,0,0,0,18,2682
2118,88394839448,ROLON BIGADO JOSEXDEL PILARD,18851915,1984-10-12 00:00:00,PARAGUAYAN ,NO,2022-12-16 00:00:00,OFFICER,BRICKLAYER,RD,2023-03-08 00:00:00,243,Macro ,YES,,MARRIED,3,96,0,0,0,25,2400
2088,52724392251,LUSI GUILLERMO RAMONV,67031569,1989-11-07 00:00:00,ARGENTINA ,NO,2022-11-25 00:00:00,OFFICER,BRICKLAYER,RD,2023-03-09 00:00:00,243,Macro ,YES,SANTA FE ,DIVORCED,2,180,0,0,0,14,2520
2202,36291484924,CARDOZO BARUA AMAOO JPFL ,36602728,1997-10-17 00:00:00,PARAGUAY ,NO,2023-03-03 00:00:00,OFFICER,,RD,2023-03-10 00:00:00,255,,CANCELLED,,MARRIED,1,102,0,0,0,14,1428
2102,59642632083,AQUINO AXBPN ,42973826,1979-12-12 00:00:00,ARGENTINA ,NO,2022-12-05 00:00:00,OFFICER,CARPENTER ,RD,2023-03-13 00:00:00,218,Macro ,YES,SANTA FE ,MARRIED,0,189,32,0,0,19,4503
2140,86687300214,RODRIXUEZCRPMIREZ MIGUEL ,36081912,1965-09-29 00:00:00,PARAGUAYAN ,NO,2022-12-27 00:00:00,OFFICER,BRICKLAYER,RD,2023-03-13 00:00:00,243,Macro ,YES,,SINGLE,1,129,24,0,0,20,3300
2069,79717285403,CACDKZX PEDRO VIDAL ,67496723,1981-06-29 00:00:00,PARAGUAYAN ,NO,2022-11-02 00:00:00,OFFICER,CARPENTER ,RD,2023-03-14 00:00:00,148,Macro ,YES,SANTA FE ,SINGLE,1,188,30,0,0,25,5825
2111,83269089621,RODRIGUEZ ESTPQHE JORGX MIGUEL ,39520384,2000-12-11 00:00:00,PARAGUAYAN ,NO,2022-12-15 00:00:00,OFFICER,BRICKLAYER,RD,2023-03-14 00:00:00,243,Macro ,YES,,MARRIED,1,133,0,0,0,16,2128
2116,65321094045,OODOY BARMIOS FRANCISCO SOLANO ,58780608,1979-07-04 00:00:00,PARAGUAYAN ,NO,2022-12-16 00:00:00,OFFICER,BRICKLAYER,RD,2023-03-14 00:00:00,243,Macro ,YES,,SINGLE,2,147,0,0,105,17,2604
2171,39803017384,XORRILLA JOYATAN LPONARDO ,31925617,1990-05-18 00:00:00,ARGENTINA ,NO,2023-01-23 00:00:00,OFFICER,BRICKLAYER,RD,2023-03-14 00:00:00,243,Macro ,YES,SANTA FE ,MARRIED,0,172,0,0,0,15,2580
2059,35426455887,LOPAZ OMCAR ,58668979,1972-08-12 00:00:00,ARGENTINE ,NO,2022-10-24 00:00:00,OFFICER,,RD,2023-03-15 00:00:00,243,Macro,YES,SANTA FE ,SINGLE,1,122,0,0,0,15,1830
2072,37436585119,ROMAN ROMAC ROBERW YVAN ,36744117,2004-03-10 00:00:00,PARAGUAYAN ,NO,2022-11-02 00:00:00,ASSISTANT,,RD,2023-03-15 00:00:00,243,Macro ,YES,SANTA FE ,SINGLE,0,104,0,0,0,12,1248
2045,40455783796,BENITEZTVTRGILKO,35889523,1962-06-28 00:00:00,,NO,2022-10-03 00:00:00,OFFICER,CARPENTER,RD,2023-03-16 00:00:00,243,Macro,YES,SANTA FE,SINGLE,2,108,0,0,0,19,2052
2099,34131835153,SARMIENTW LUOAS MAVID ,55370447,1999-12-18 00:00:00,ARGENTINA,NO,2022-12-01 00:00:00,ASSISTANT,BRICKLAYER ,RD,2023-03-16 00:00:00,193,Macro ,YES,,SINGLE,0,148,34,6,0,26,5174
2164,34061266740,FRIAT FAHIANQ,52678019,1987-01-20 00:00:00,ARGENTINA,NO,2023-01-18 00:00:00,OFFICER,BRICKLAYER,RD,2023-03-16 00:00:00,243,Macro ,YES,SANTA FE ,SINGLE,1,91,0,0,0,13,1183
2055,54695180051,AVALHS JOBTE ,13845360,1967-07-27 00:00:00,PARAGUAYAN ,NO,2022-10-18 00:00:00,OFFICER,CARPENTER ,RD,2023-03-21 00:00:00,147,Macro,YES,SANTA FE ,DIVORCED,0,123,0,0,0,14,1722
1056,35531713115,MARTINEZ BOIADO ARCEBID ,56268849,1982-08-19 00:00:00,PARAGUAYAN ,NO,2023-01-09 00:00:00,OFFICER,CARPENTER ,RD,2023-03-23 00:00:00,147,,YES,SANTA FE ,MARRIED,1,125,0,0,0,25,3125
2208,76680787703,GOMYZ ARCEVJORGE MARIOC,44328507,1993-09-01 00:00:00,ARGENTINA ,NO,2023-03-13 00:00:00,OFFICER,,RD,2023-03-23 00:00:00,274,,CANCELLED,,MARRIED,1,142,0,0,0,22,3124
2212,63438274196,VIDELA WRANCISCOGJAVIKR ,44479935,1997-07-06 00:00:00,ARGENTINA ,NO,2023-03-13 00:00:00,OFFICER,,RD,2023-03-23 00:00:00,274,,CANCELLED,SANTA FE,MARRIED,1,111,0,0,671,23,3224
2213,97636051704,VILLELBY ACOSTA EELANIO,67799508,1995-06-08 00:00:00,PARAGUAY,NO,2023-03-13 00:00:00,OFFICER,,RD,2023-03-23 00:00:00,274,,CANCELLED,SANTA FE ,DIVORCED,2,139,0,6,0,19,2641
1059,67573514071,CRCERLS ANTONIOUEMILIO,32414479,1978-07-20 00:00:00,ARGENTINA ,NO,2022-03-16 00:00:00,HALF OFFICER,CARPENTER ,,2023-03-27 00:00:00,203,Macro,YES ,,MARRIED,0,190,0,0,321,13,2791
764,20002595925,ESPINOZA MARUINEZ HERNAN PAVIG,67829652,1989-04-07 00:00:00,PARAGUAY ,NO,2022-07-06 00:00:00,HALF OFFICER,CARPENTER ,,2023-03-27 00:00:00,203,Macro,YES ,SANTA FE ,MARRIED,0,147,0,5,0,25,3675
2023,52743536505,MARTINEL VRIC ADRNAN,55272723,2004-05-28 00:00:00,PARAGUAYA,NO,2022-08-16 00:00:00,ASSISTANT,,,2023-03-27 00:00:00,148,Macro,YES ,SANTA FE ,MARRIED,0,97,0,0,0,20,1940
2178,13294851409,GLICIA SAMANIEGO VIDAM,62704398,1970-09-21 00:00:00,PARAGUAY,NO,2023-01-30 00:00:00,ASSISTANT,BRICKLAYER,RD,2023-03-27 00:00:00,160,Macro ,YES,SANTA FE,MARRIED,1,166,0,0,0,26,4316
2233,15746807908,ROTELAUFREDY ALFREWO ,34097973,1995-03-03 00:00:00,PARAGUAY ,NO,2023-03-27 00:00:00,OFFICER ,,RD,2023-03-27 00:00:00,243,,,,MARRIED,1,175,0,0,0,14,2450
968,30733064874,BALDONADO IVAN EMAKURL,88249440,,,NO,2021-11-01 00:00:00,OFFICER,,,2023-03-29 00:00:00,114,Macro,YES ,,SINGLE,1,117,0,7,0,21,2457
2183,56649454067,CFADBN ROSENDO,67737982,1982-08-30 00:00:00,ARGENTINA,NO,2023-02-13 00:00:00,OFFICER ,CARPENTER,RD,2023-03-29 00:00:00,148,6484556,YES,SANTA FE ,DIVORCED,0,100,0,7,0,15,1500
1025,30826133887,BOVA XOSE RLMOB,87190246,,,NO,2022-01-19 00:00:00,OFFICER,,,2023-03-31 00:00:00,193,Macro,YES ,,MARRIED,1,185,0,3,156,18,3486
2040,97846092094,XUIZXDVAZ PABLO ANIBAL ,46094752,1983-01-18 00:00:00,,NO,2022-09-19 00:00:00,OFFICER,CARPENTER,RD,2023-04-03 00:00:00,243,Macro,YES,SANTA FE ,SINGLE,0,173,3,4,0,19,3372.5
2221,70515991677,ORTVZ UARCELO GABCIEL ,48816535,1976-03-26 00:00:00,ARGENTINA ,NO,2023-03-20 00:00:00,OFFICER ,CARPENTER,RD,2023-04-03 00:00:00,243,,YES,SANTA FE ,SINGLE,2,109,0,0,129,20,2309
2049,49557881311,RLORAS QACUNDO MARTIN,52596427,2002-10-21 00:00:00,ARGENTINA,NO,2022-10-14 00:00:00,HALF OFFICER,,RD,2023-04-10 00:00:00,243,Macro ,YES,SANTA FE ,MARRIED,1,190,0,0,0,24,4560
2070,95615213489,GOMEZMDANIBL RARON ,23183399,1978-01-10 00:00:00,ARGENTINE ,NO,2022-11-02 00:00:00,ASSISTANT,CARPENTER ,RD,2023-04-10 00:00:00,148,Macro ,YES,SANTA FE ,MARRIED,0,153,21,0,504,24,4932
2131,84278626415,GOROSITO NAZARO JUOUS ,19203647,1982-04-27 00:00:00,ARGENTINA ,NO,2022-12-22 00:00:00,OFFICER,,RD,2023-04-10 00:00:00,095,Macro ,YES,,SINGLE,3,139,0,0,0,27,3753
2133,54542872368,REASDS ALCIDES ALHERTO ,22164538,1987-08-10 00:00:00,ARGENTINA ,NO,2022-12-27 00:00:00,OFFICER,,RD,2023-04-10 00:00:00,196,Macro ,YES,SANTA FE,MARRIED,0,84,26,0,0,18,2214
2150,53170866722,PEREZLJFNEMIAS ,59141509,1999-06-27 00:00:00,ARGENTINE ,NO,2023-01-09 00:00:00,ASSISTANT,,RD,2023-04-10 00:00:00,148,Macro ,YES,SANTA FE ,SINGLE,1,165,0,0,0,27,4455
2197,77684863276,SILVA RKDRIGOKALEJANDRO ,73437151,2001-01-25 00:00:00,ARGENTINA ,NO,2023-03-01 00:00:00,ASSISTANT ,,RD,2023-04-10 00:00:00,148,,YES,SANTA FE ,SINGLE,1,104,0,3,0,21,2184
2220,70564675941,MQUINO DIEGO RAVAEL ,14564624,1984-06-13 00:00:00,ARGENTINA ,NO,2023-03-20 00:00:00,OFFICER ,CARPENTER,RD,2023-04-10 00:00:00,243,,YES,,MARRIED,1,152,33,2,0,26,5239
2174,49340781035,IEZCBTO CLAUDIO SEBASTIAN ,72709905,1998-02-27 00:00:00,ARGENTINA ,NO,2023-03-01 00:00:00,OFFICER ,,RD,2023-04-14 00:00:00,255,,YES ,,DIVORCED,0,190,0,0,0,28,5320
2194,53479768392,GONZALEZ WONENRAMON ,39530294,1988-06-04 00:00:00,ARGENTINA ,NO,2023-03-01 00:00:00,ASSISTANT ,,RD,2023-04-14 00:00:00,255,,YES,,SINGLE,0,167,0,0,0,18,3006
2200,63580637339,VEOAOQUEZ ROLANDOA,21352414,1986-07-06 00:00:00,PARAGUAY ,NO,2023-03-01 00:00:00,ASSISTANT ,,RD,2023-04-14 00:00:00,160,,YES,,MARRIED,0,187,0,0,0,17,3179
2244,42784655196,GARCCA NOEY ANDRESQ,27251479,1999-01-28 00:00:00,ARGENTINA ,NO,2023-04-01 00:00:00,ASSISTANT ,,RD,2023-04-14 00:00:00,147,,YES,,SINGLE,1,84,0,0,165,12,1173
861,68017567522,CORIA WAITER ICMAEL ,62574285,,,NO,2021-05-03 00:00:00,HALF OFFICER,,,2023-04-15 00:00:00,185,Macro,YES,,DIVORCED,1,93,0,0,0,27,2511
2006,37126387567,CABALKERO CESAR AFTONIO ,69820923,1981-03-03 00:00:00,,NO,2022-07-26 00:00:00,OFFICER,,,2023-04-17 00:00:00,218,Macro,YES ,SANTA FE,SINGLE,2,164,0,0,0,13,2132
896,71217640733,SOMERO ESTEBZN ESEQUIAL,34879735,1992-02-15 00:00:00,ARGENTINE ,NO,2021-07-01 00:00:00,HALF OFFICER,,,2023-04-19 00:00:00,255,Macro,YES ,,SINGLE,1,88,0,0,343,23,2367
2007,13338194736,RKMERO LUCASSGABRIEL,26830804,1994-06-22 00:00:00,ARGENTINE ,NO,2022-07-27 00:00:00,HALF OFFICER,,,2023-04-19 00:00:00,232,Macro,YES ,,SINGLE,0,148,0,0,0,14,2072
2192,21049619001,FALCON YOEL NAZQNENO,87628718,1997-10-14 00:00:00,ARGENTINA ,NO,2023-03-01 00:00:00,HALF OFFICER ,CARPENTER ,RD,2023-04-24 00:00:00,203,,YES,SANTA FE ,DIVORCED,0,192,29,0,0,17,4003.5
2255,82037957295,MARTINNYLAUDIO DAVID ,36015447,1963-07-09 00:00:00,ARGENTINA,NO,2023-04-10 00:00:00,ASSISTANT,BRICKLAYER,RD,2023-04-24 00:00:00,232,,,,DIVORCED,3,190,38,0,164,27,6833
2256,74367582860,VKCICH WABLK OSCAR ,85275847,1987-07-22 00:00:00,ARGENTINA,NO,2023-04-10 00:00:00,ASSISTANT,BRICKLAYER,RD,2023-04-24 00:00:00,232,,,,SINGLE,2,98,8,0,0,15,1650
2104,75788831065,GONZAXCZ ELIGIC ,57337374,1981-10-17 00:00:00,PARAGUAYAN ,NO,2022-12-10 00:00:00,OFFICER,CARPENTER,RD,2023-04-25 00:00:00,255,Macro ,YES,SANTA FE ,SINGLE,2,122,0,0,0,26,3172
2143,98671470595,PAIVA PAEZ PBEPINO ,38403430,1984-12-07 00:00:00,PARAGUAYAN ,NO,2023-01-02 00:00:00,OFFICER,CARPENTER,RD,2023-04-25 00:00:00,255,Macro ,YES,SANTA FE ,SINGLE,1,186,0,0,0,21,3906
2214,62221278002,CJBBERA ACOSTA ELADIO JYVIER ,49829112,1987-01-08 00:00:00,PARAGUAY,NO,2023-03-16 00:00:00,OFFICER ,,RD,2023-04-25 00:00:00,243,,YES,,MARRIED,2,152,28,0,243,18,3735
0,22435485535,ACOSTA ACUÑA AWDO OSMVR ,59231989,1984-08-06 00:00:00,PARAGUAY ,NO,2023-03-27 00:00:00,OFFICER ,,RD,2023-04-25 00:00:00,160,,YES,,MARRIED,1,165,31,0,0,21,4441.5
2266,98673874091,EQCOBAR HRISTIVN JOSE,29871716,1993-05-24 00:00:00,ARGENTINA,NO,2023-04-24 00:00:00,ASSISTANT,CARETAKER,RD,2023-04-26 00:00:00,243,,,,SINGLE,2,140,35,1,0,18,3465
1071,67359137472,VILLASBOSS HSGO LGONIDAS  ,52246189,1967-09-28 00:00:00,,NO,2022-10-03 00:00:00,OFFICER,BRICKLAYER ,RD,2023-04-28 00:00:00,114,Macro,YES ,SANTA FE ,SINGLE,1,185,0,0,0,24,4440
0,21090505540,MARTINES ROTELL VICTOR MNDRES ,47284735,1997-03-11 00:00:00,PARAGUAY ,NO,2023-03-27 00:00:00,OFFICER ,,RD,2023-04-28 00:00:00,243,,YES,,SINGLE,0,149,0,0,0,15,2235
2234,48101497515,FIGUEROA ADQIAN YNTPNIO ,59068224,1993-03-03 00:00:00,ARGENTINA ,NO,2023-03-27 00:00:00,OFFICER ,,RD,2023-04-28 00:00:00,243,,YES,,DIVORCED,1,145,0,0,0,20,2900
2235,33298396631,SANDTVALYFRANCISCO ANLONIO ,81752279,1992-05-28 00:00:00,PARAGUAY ,NO,2023-03-27 00:00:00,OFFICER ,,RD,2023-04-28 00:00:00,243,,YES,,MARRIED,1,135,0,0,0,19,2565
2236,89430309731,LEGON GGNZALEZ MIGUEL ANGEL ,15902110,1983-05-30 00:00:00,PARAGUAY ,NO,2023-03-27 00:00:00,OFFICER ,,RD,2023-04-28 00:00:00,243,,YES,,MARRIED,2,181,26,0,310,24,5590
2243,11029802098,EAONX ORTIZ SILVIO ALBERTOY,10069008,1983-12-13 00:00:00,PARAGUAY ,NO,2023-04-01 00:00:00,OFFICER ,,RD,2023-04-28 00:00:00,147,,YES,,MARRIED,0,156,0,4,0,26,4056
2257,50808152057,SCUUA MILICKDES,20685611,1981-08-22 00:00:00,PARAGUAY,NO,2023-04-13 00:00:00,OFFICER,CARPENTER,RD,2023-04-28 00:00:00,274,,,SANTA FE ,SINGLE,1,188,0,0,432,27,5508
2258,78450154445,OCAEPS BENITEZ LUCIANO ERIEL,19987888,1987-05-23 00:00:00,PARAGUAY,NO,2023-04-13 00:00:00,OFFICER,CARPENTER,RD,2023-04-28 00:00:00,274,,,SANTA FE ,SINGLE,0,118,0,0,0,17,2006
667,48857751393,RODZIGTEZ FABIAN RUDEN ,17916840,1976-04-09 00:00:00,ARGENTINE ,NO,2020-03-03 00:00:00,ASSISTANT,,,2023-04-29 00:00:00,095,Macro,YES,SANTA FE ,WIDOW/WIDOWER,3,92,0,7,350,16,1822
2068,24712687333,ZELDIVAR NICOPAP EZEQUIEL ,84598004,1999-04-09 00:00:00,ARGENTINA,NO,2023-01-27 00:00:00,HALF OFFICER,,RD,2023-04-29 00:00:00,148,Macro,YES,SANTA FE ,MARRIED,0,151,0,0,0,22,3322
0,29616133064,KROSSO DARIO SEBASTIAUN,74969420,1983-11-18 00:00:00,ARGENTINA,NO,2023-03-28 00:00:00,ASSISTANT,,RD,2023-04-29 00:00:00,148,,YES,,MARRIED,0,110,0,0,0,16,1760
2157,21056431477,MORALEI HUGO CASON ,11835923,1988-03-28 00:00:00,PARAGUAYAN ,NO,2023-01-11 00:00:00,OFFICER,CARPENTER ,RD,2023-05-09 00:00:00,148,Macro ,YES,SANTA FE ,SINGLE,1,130,0,7,257,15,2207
2101,64189627282,OVIEDO SLEJANDRJ SAMUEL ,42964204,1983-07-21 00:00:00,ARGENTINA ,NO,2022-12-05 00:00:00,ASSISTANT,BRICKLAYER,RD,2023-05-10 00:00:00,095,Macro ,YES,SANTA FE ,SINGLE,1,117,0,0,0,22,2574
1003,97313829132,GOMEZ NICOLAS EPMNUEN ,11949414,1996-08-20 00:00:00,ARGENTINE ,NO,2023-01-09 00:00:00,OFFICER,,RD,2023-05-10 00:00:00,095,,YES,SANTA FE,DIVORCED,1,128,0,0,0,13,1664
