Email address,file number,Last name,Name,Learning and Continuous Improvement,Service quality ,Communication,Diligence/Promptness,Discipline,Discretion,Efficiency,Empathy,Professional ethics,Excellency,Modesty,Suitability,Equality,Innovation and creativity,Integrity and Respect,Loyalty,Leadership,Responsibility,Teamwork,Transparency and Honesty,Assessment of Individuals,Service Orientation
clarksusan@example.net,7310,Hill,MARI IANA,4,5,3,4,5,4,3,4,5,4,5,4,5,4,4,3,5,4,5,5,5,3
lorisims@example.com,7545,Evans,FEDE RICO,4,4,3,4,4,3,4,5,4,4,4,4,4,3,5,3,4,3,4,3,4,3
jessica87@example.com,645,Jefferson,MANU ARDO,5,4,4,5,5,4,4,4,3,4,4,5,5,4,5,5,5,3,4,5,4,3
dwoods@example.org,6401,Booth,EMMA XIMA,4,5,4,5,4,5,3,5,3,4,5,3,5,5,5,3,4,3,4,4,4,4
danielle43@example.net,10094,Ramirez,GONZ ZALO,5,4,5,5,5,5,3,5,4,5,4,3,4,4,5,3,4,3,5,5,4,3
james27@example.net,7426,Garcia,JORG UNDO,5,5,5,4,5,3,4,5,5,5,4,3,5,4,5,3,4,3,4,4,4,4
patty69@example.com,6248,Gonzalez,MATI NARO,5,5,5,5,5,5,4,4,4,5,5,3,5,5,5,5,5,4,5,4,5,3
waltonjulia@example.com,1759,Conner,JOSE NUEL,5,5,4,4,4,3,4,4,3,4,5,5,5,3,4,3,4,4,4,4,5,4
michael31@example.com,1437,Davis,DANT ILIO,5,5,4,5,4,5,3,4,4,5,4,3,4,4,5,4,4,3,5,5,4,3
lisa61@example.net,7670,Mcdonald,MARI LINA,5,5,3,5,5,3,5,4,5,5,5,4,5,3,5,4,4,5,5,5,5,5
erica67@example.net,6471,Ware,LUCI ARIA,4,5,3,5,5,3,4,4,5,4,5,3,4,4,5,3,5,4,5,3,5,3
douglas93@example.com,6237,Byrd,ESTE EBAN,4,4,3,4,5,5,5,4,3,5,4,5,5,5,5,4,4,5,4,4,4,4
michaelsmith@example.org,6051,Taylor,GUST ISES,4,4,4,5,5,4,5,4,5,5,4,4,4,4,4,4,4,5,4,5,5,4
victoria82@example.org,4631,Miller,LUCI AGRO,4,4,5,4,4,3,3,5,3,5,4,5,4,5,5,5,4,3,5,5,4,5
carolyn60@example.com,7010,Haley,LUCI TELA,5,4,5,5,5,4,3,5,4,4,5,4,4,4,5,3,4,3,4,3,5,5
ramirezrichard@example.net,7391,Meyers,JUAN JOSE,4,5,4,4,5,5,4,4,3,5,5,5,5,3,5,4,5,3,4,4,5,5
heidi04@example.net,7977,Foley,STEF ANIA,5,4,4,4,5,4,3,5,4,4,4,4,5,5,5,4,4,5,5,4,4,4
fsharp@example.com,6244,Olsen,JUAN NTOS,5,4,5,5,5,5,4,4,3,5,5,4,5,4,4,5,4,5,4,5,5,5
patriciasanchez@example.net,1452,Powell,CARL ARDO,4,4,5,4,5,4,5,4,5,5,4,5,4,3,5,4,5,4,4,3,5,3
watkinsbridget@example.net,7246,Cortez,IVAN BETH,4,4,3,5,4,3,5,5,5,4,4,5,5,3,5,5,4,5,4,5,4,5
joshua94@example.net,6734,Adams,MARI FINA,5,4,5,5,5,4,5,5,5,4,5,4,4,4,4,4,4,3,5,3,4,5
michaelbriggs@example.net,4582,Hansen,LUCI IANA,5,4,5,5,5,3,3,5,3,4,4,5,4,3,4,4,4,4,4,3,4,5
fmckee@example.net,6802,Willis,ROBE UIEL,4,4,5,5,4,4,4,4,4,4,5,4,4,3,5,3,4,4,5,5,5,3
brian23@example.com,10328,Le,MARI IELA,5,4,4,4,5,5,4,4,4,5,4,3,5,4,5,3,5,3,5,3,5,5
susanedwards@example.com,7224,Brady,EMIL JOSE,4,5,4,4,5,4,3,4,3,5,4,3,4,4,4,5,5,3,5,3,4,4
tylergarcia@example.com,7718,Nixon,MAUR UIEL,4,5,4,5,4,3,3,4,5,4,4,4,4,4,4,4,4,3,4,4,5,5
sperry@example.org,7587,Koch,NELS OLAS,4,4,3,5,5,3,5,4,3,5,4,4,4,4,4,5,4,3,4,5,5,3
deannayoung@example.com,10332,Glass,LAUT TARO,5,4,3,5,4,5,3,5,3,5,4,5,4,3,4,5,4,4,4,3,4,3
christinawilliams@example.net,10329,Torres,CARL IANA,4,4,4,4,5,5,5,4,5,5,4,5,4,4,5,3,4,5,4,4,5,5
thomas98@example.org,6382,White,MARI EDAD,5,4,4,5,5,4,3,4,4,4,4,3,5,5,4,5,4,5,4,3,5,5
michael75@example.com,6523,Garcia,JOSE LUIS,4,4,3,5,4,5,5,5,5,4,5,5,4,4,4,4,5,4,4,4,4,5
heatherreyes@example.net,7894,Jenkins,AGOS TINA,4,5,5,5,5,3,5,4,5,4,4,5,4,5,4,5,5,5,4,5,4,4
svargas@example.com,7175,Grant,ROMI MARA,4,5,4,5,5,4,5,4,5,4,4,4,5,5,5,3,4,4,5,3,5,4
maureen70@example.org,10030,Davis,MARI LENA,4,5,4,4,4,5,5,4,5,5,4,4,4,4,4,4,4,4,4,3,4,3
greentodd@example.org,10314,Cooper,VERO RENA,4,4,5,4,5,3,3,4,4,5,4,5,4,3,4,3,5,3,4,5,5,4
olivia08@example.net,7327,Valencia,ALEJ STIN,5,4,3,5,4,4,5,5,4,4,5,4,5,4,5,5,4,3,5,5,5,5
susanmorse@example.net,6478,Mitchell,SOLA ANGE,4,5,3,4,4,4,4,5,5,5,4,4,5,3,5,4,5,5,4,5,4,5
jillcastro@example.net,7387,Velasquez,MARI ELES,4,5,5,4,4,5,4,4,5,5,5,5,5,3,5,3,5,5,4,4,5,3
matthewsjennifer@example.org,7860,Reyes,MAIT AITE,5,5,5,4,5,3,3,5,3,4,4,3,4,5,4,3,4,4,4,3,5,5
donaldsonjose@example.com,6494,Diaz,MARI ILAR,5,5,3,5,5,4,3,5,5,5,5,5,5,4,4,4,5,3,4,3,4,3
judy46@example.com,7470,Reed,GUST OLAS,5,4,3,5,5,5,3,5,4,4,5,3,4,4,5,5,5,5,5,3,4,3
jfox@example.net,7541,Smith,AGUS TINA,5,5,3,4,4,5,4,4,4,5,5,4,5,4,4,3,5,4,4,5,5,5
lrios@example.com,7262,Hill,JULI NINA,4,5,5,4,4,4,4,5,5,4,4,3,4,5,5,3,5,4,4,4,4,5
nbrown@example.com,7633,Franklin,MELI ARIA,5,5,4,5,4,4,5,5,5,4,5,5,4,5,5,4,4,5,5,5,4,5
tharvey@example.com,7852,Allison,FABI RINO,5,5,4,4,4,3,3,5,3,5,5,3,5,4,4,5,4,4,4,5,4,3
william43@example.net,7850,Miller,NATA NICA,4,5,4,5,4,3,4,5,4,5,5,5,5,5,4,3,5,3,5,5,4,4
parksmichael@example.com,10326,Martin,MAUR VIER,4,5,4,5,4,3,4,4,5,5,4,5,5,5,4,4,4,4,5,3,4,4
calderonsamantha@example.com,1240,Robinson,GRIS ERTO,5,4,4,4,4,3,4,5,5,5,5,5,5,3,4,3,5,5,4,4,4,4
igonzalez@example.com,10315,Ayers,JUAN ESUS,4,4,3,5,4,4,3,5,5,5,4,4,5,5,5,3,5,3,5,5,4,5
christopherbailey@example.org,7741,Boyd,LUCI IANA,4,5,5,4,5,5,5,5,4,4,4,3,4,3,5,4,4,4,4,5,4,5
rodgerserika@example.org,8045,Brown,MARI IANA,5,5,5,4,5,3,4,4,5,5,5,4,5,4,5,5,5,5,4,4,4,5
djohnson@example.net,6751,Norton,CESA USTO,5,5,4,4,5,4,5,4,3,4,5,3,4,4,5,3,4,4,4,3,4,4
pmcconnell@example.org,10327,Olson,MARI ILIA,5,5,3,4,4,5,3,5,5,5,5,4,5,4,5,3,5,3,4,5,4,4
carlafarrell@example.org,2793,Davis,LUIS ISCO,5,4,4,5,5,4,3,5,3,5,5,5,4,4,5,5,5,5,5,3,5,4
mcdonaldbenjamin@example.net,7666,Morse,JUAN ACIO,5,5,3,5,4,5,4,5,5,5,5,5,5,3,4,3,5,3,5,5,5,5
sherri47@example.com,10324,Miller,LUCI JOSE,5,5,3,5,5,3,3,4,3,5,5,5,5,5,4,3,5,5,4,3,4,3
mmcguire@example.com,10337,Garcia,ANA  LINA,4,5,4,5,4,3,3,4,5,4,4,5,5,4,4,5,4,5,4,5,5,3
douglas73@example.com,7631,Kane,MARI RDES,5,5,3,4,4,5,5,5,3,4,5,5,4,3,4,5,5,4,4,3,4,3
keithmarquez@example.org,10303,Jones,HECT RIEL,4,5,4,4,4,5,5,5,4,5,4,3,4,3,5,4,5,3,4,3,5,5
udiaz@example.org,7580,Greene,TAMA EDAD,4,5,5,5,5,4,5,4,5,4,5,3,5,5,5,5,4,5,5,5,5,3
jenniferfuller@example.org,10330,Jordan,GONZ ZALO,4,5,3,4,5,5,4,5,4,5,5,3,5,3,5,3,5,3,4,5,5,4
tracey31@example.net,10308,Vasquez,MARI AURA,4,4,5,5,4,5,4,5,5,4,5,5,4,4,4,4,5,5,5,3,5,3
karacole@example.com,7291,Zamora,YESS IELA,4,5,5,5,5,3,3,5,5,4,4,4,5,5,5,4,5,3,4,3,4,3
maxwellgalloway@example.net,7651,Williams,LUIS OFIA,5,4,3,5,4,5,4,4,3,5,5,3,4,4,5,3,5,5,4,5,4,3
anthonybutler@example.org,6413,Roberts,CARO LINA,4,4,3,4,5,4,4,5,4,5,5,4,5,3,5,4,4,3,4,5,4,5
wbennett@example.net,6982,Mitchell,ANAH EDAD,5,4,5,4,5,5,4,5,4,5,5,5,4,4,4,4,5,5,4,4,4,5
christian01@example.org,7660,Simpson,MERC ALLE,5,5,5,5,5,4,4,5,3,5,4,5,5,3,5,3,5,5,4,4,5,3
hendersonkatherine@example.org,6650,Carter,GUAD ARIA,5,4,3,5,5,3,3,5,4,4,5,5,4,4,5,4,4,5,4,3,5,3
joannekidd@example.net,7306,Smith,MARI RNAN,4,4,4,5,4,5,3,4,4,4,4,3,5,4,4,4,5,3,4,5,4,3
munozkevin@example.com,6717,Fuller,MART OLAS,5,4,4,4,5,3,4,4,3,4,5,4,5,4,4,5,5,4,4,5,4,4
rodriguezdanielle@example.com,7287,Vaughan,CARL ZALO,5,5,5,5,4,3,5,4,3,4,5,5,5,5,5,4,4,4,4,5,4,5
jamesmorris@example.com,7500,Smith,MARI TINA,5,4,4,5,4,5,4,5,4,5,5,4,5,5,5,4,4,3,5,3,5,5
hward@example.com,10302,Mcneil,AGUS ARIA,4,5,3,5,4,3,4,5,5,5,5,5,4,5,4,3,4,5,4,4,4,5
matthew91@example.com,7487,Martin,MARI ENIA,5,5,5,5,4,5,3,5,3,5,5,4,4,4,4,5,5,5,4,3,4,5
jimmy28@example.org,2750,Meyers,JUAN NUEL,4,4,5,5,5,4,3,5,4,5,4,5,4,5,4,5,5,5,5,3,5,3
williammclaughlin@example.net,7396,Joseph,ANGE RICO,5,5,5,5,4,5,5,5,3,4,5,5,4,4,5,4,5,5,5,4,4,5
xmartinez@example.net,8055,Clayton,ANTO ANZA,4,5,3,4,5,4,5,5,4,5,5,4,5,5,5,4,4,4,5,5,4,4
fwright@example.com,10325,Wilson,MATI ACIO,4,5,5,4,5,5,3,4,4,4,5,5,4,5,5,4,4,3,4,4,5,3
mhunt@example.com,10364,King,MAIR OFIA,5,4,4,5,5,4,4,4,5,5,5,3,5,4,4,3,4,4,5,3,4,4
jason43@example.com,7064,Ward,XIOM HITL,5,4,4,5,4,3,3,5,5,5,5,4,4,5,4,4,5,5,4,4,5,5
hross@example.net,300,Wallace,JULI ESAR,5,4,5,5,5,5,5,5,5,5,4,4,4,5,5,5,4,3,5,4,5,4
robertscott@example.net,10172,Anderson,MAUR REDO,5,4,5,5,4,3,4,4,4,5,5,3,4,4,4,4,5,4,4,4,5,3
sandra87@example.org,7892,Green,MARI RDES,4,5,3,4,5,4,3,5,5,5,5,5,5,4,4,4,5,4,4,5,5,3
kelly09@example.net,7994,Berry,ROBE ERTA,5,4,3,4,5,5,5,5,5,5,4,5,4,4,4,4,4,4,5,4,4,3
samanthaanderson@example.net,10376,Patton,SILB DREA,5,5,4,5,5,3,4,4,3,5,4,5,5,5,4,3,5,5,5,3,5,4
josephbrown@example.com,10380,Wyatt,CARL RIEL,5,5,4,5,4,3,5,5,4,4,4,3,4,5,5,4,4,4,4,4,4,4
thomascharles@example.com,10389,Hoover,DIEG IEGO,4,4,4,4,5,3,5,4,5,4,4,5,5,5,4,5,5,3,5,3,4,5
pvillanueva@example.com,10387,Choi,MATI TIAS,5,5,4,5,5,4,4,4,4,5,4,5,4,4,4,4,5,4,5,3,5,5
ztaylor@example.com,10388,Allen,TANI ANIA,5,5,4,5,5,5,3,5,3,5,5,5,5,3,5,3,5,5,5,5,4,5
kylepennington@example.com,10390,Caldwell,MARI IANA,4,5,3,4,4,5,5,5,5,4,4,5,5,5,4,3,5,4,4,5,5,3
bfigueroa@example.net,10393,Nichols,MARI ORIA,5,5,5,4,4,5,4,5,3,4,4,4,4,3,5,5,4,4,4,3,4,3
rogerscynthia@example.com,10421,Dyer,NADI ARIA,5,4,4,4,4,3,5,4,5,5,5,4,4,4,4,3,4,4,4,4,5,4
mgrant@example.org,99998,Delgado,MARC CELO,4,5,5,4,4,4,3,4,4,5,4,3,5,3,5,4,5,3,5,3,4,3
ykelly@example.org,6953,Potter,AGUS TINA,4,4,3,5,4,4,5,4,3,4,4,5,5,5,5,3,5,5,5,4,4,5
daniellloyd@example.org,7940,Foster,MARI IELA,4,4,3,4,5,5,4,4,5,5,5,3,4,4,4,3,4,3,5,3,4,3
